Week,Opponent,Total DVOA,Offense DVOA,Offense Pass DVOA,Offense Rush DVOA,Defense DVOA,Defense Pass DVOA,Defense Rush DVOA,Special Teams DVOA
Week 1,JAX,-3.4%,-7.9%,7.0%,-32.1%,-3.8%,-19.6%,34.6%,0.6%
Week 2,DET,-40.2%,-20.0%,-7.9%,-37.9%,9.0%,5.1%,15.5%,-11.2%
Week 3,PHI,-29.3%,-39.5%,-45.9%,-10.6%,-1.5%,44.5%,-68.6%,8.7%
Week 4,DAL,-7.5%,-18.4%,-21.6%,3.6%,-7.1%,41.6%,-58.8%,3.8%
Week 5,TEN,-13.5%,-20.8%,4.6%,-47.2%,-7.8%,-13.6%,-3.2%,-0.5%
Week 6,CHI,-0.7%,-26.9%,-39.5%,-6.4%,-20.1%,-21.8%,-17.9%,6.2%
Week 7,GB,-21.3%,-7.3%,17.8%,-31.1%,14.6%,38.5%,-44.7%,0.6%
Week 8,IND,-12.3%,3.9%,9.9%,-3.8%,15.9%,39.1%,-6.4%,-0.3%
Week 9,MIN,1.7%,-20.1%,-39.9%,2.4%,-11.9%,0.2%,-30.4%,9.9%
Week 10,PHI,17.0%,4.9%,16.7%,8.6%,7.4%,-2.8%,19.5%,19.5%
Week 11,HOU,37.6%,-6.1%,18.8%,-23.6%,-43.4%,-40.2%,-52.0%,0.3%
Week 12,ATL,28.3%,9.8%,3.2%,13.6%,-12.0%,-31.2%,1.6%,6.5%
Week 13,NYG,-23.4%,-17.2%,-13.8%,-15.3%,1.2%,25.1%,-26.1%,-4.9%
Week 14,BYE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Week 15,NYG,-21.6%,-22.8%,-7.4%,-26.8%,8.2%,-2.9%,20.5%,9.4%
Week 16,SF,0.1%,11.4%,77.3%,-38.4%,6.0%,4.3%,7.4%,-5.3%

